Tarih;Buyume
2020;792310488.00
2019;1772231904.00
2018;1756136304.00
2017;1705666209.00
2016;1586636759.00
2015;1535607237.00
2014;1447532323.00
2013;1379394179.00
2012;1271497250.00
2011;1213393968.00
2010;1091180541.00
2009;1006372482.00
2008;1057371119.00
2007;1048822954.00
2006;998465278.00
2005;933598935.00
2004;856573256.00
2003;780150235.00
2002;737638603.00
